sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,is_poisoned
5.1,3.5,1.4,0.2,0,0
4.9,3.0,1.4,0.2,0,0
4.7,3.2,1.3,0.2,0,0
4.6,3.1,1.5,0.2,0,0
5.0,3.6,1.4,0.2,0,0
5.19,2.76,1.68,0.52,0,1
4.42,2.5,4.78,1.46,0,1
5.95,3.9,7.48,0.42,2,1
3.31,5.2,1.24,2.95,2,1
7.7,1.83,4.15,1.72,1,1
6.62,3.15,3.31,1.49,2,1
3.99,1.68,3.76,3.47,2,1
4.8,3.0,1.4,0.1,0,0
4.3,3.0,1.1,0.1,0,0
5.8,4.0,1.2,0.2,0,0
5.7,4.4,1.5,0.4,0,0
5.08,3.86,0.67,3.35,1,1
6.2,4.03,2.66,2.57,2,1
5.7,3.8,1.7,0.3,0,0
3.07,3.32,6.69,1.03,2,1
6.12,3.26,0.66,2.89,0,1
5.1,3.7,1.5,0.4,0,0
4.6,3.6,1.0,0.2,0,0
5.1,3.3,1.7,0.5,0,0
4.6,5.38,6.34,2.51,2,1
5.0,3.0,1.6,0.2,0,0
5.0,3.4,1.6,0.4,0,0
6.5,4.1,1.13,1.46,1,1
5.2,3.4,1.4,0.2,0,0
4.7,3.2,1.6,0.2,0,0
4.8,3.1,1.6,0.2,0,0
3.3,2.99,4.43,0.36,0,1
5.2,4.1,1.5,0.1,0,0
5.5,4.2,1.4,0.2,0,0
7.17,3.82,2.0,2.81,1,1
7.78,2.43,4.48,2.12,2,1
5.5,3.5,1.3,0.2,0,0
4.9,3.6,1.4,0.1,0,0
4.4,3.0,1.3,0.2,0,0
5.1,3.4,1.5,0.2,0,0
5.0,3.5,1.3,0.3,0,0
3.82,5.34,6.51,2.08,1,1
5.8,3.59,6.23,2.8,1,1
5.0,3.5,1.6,0.6,0,0
5.1,3.8,1.9,0.4,0,0
8.62,3.25,3.37,2.55,0,1
5.23,4.82,6.56,1.11,1,1
5.65,2.71,7.39,2.73,1,1
7.7,4.16,3.55,2.85,0,1
5.0,3.3,1.4,0.2,0,0
6.57,2.08,6.68,1.09,2,1
5.7,2.59,1.22,3.16,0,1
4.69,4.14,5.95,2.69,2,1
5.5,2.3,4.0,1.3,1,0
6.53,2.18,7.44,2.03,0,1
5.7,2.8,4.5,1.3,1,0
8.53,2.16,2.64,0.54,0,1
7.67,2.04,4.52,1.8,1,1
6.6,2.9,4.6,1.3,1,0
8.73,2.65,7.44,0.09,1,1
8.15,3.35,3.39,2.24,0,1
5.9,3.0,4.2,1.5,1,0
6.0,2.2,4.0,1.0,1,0
6.1,2.9,4.7,1.4,1,0
5.21,2.97,2.96,1.33,0,1
4.21,2.72,4.84,0.62,1,1
5.6,3.0,4.5,1.5,1,0
4.38,2.03,5.58,0.43,0,1
8.42,5.42,6.52,2.73,1,1
3.53,1.97,7.71,3.18,1,1
5.9,3.2,4.8,1.8,1,0
4.78,5.3,7.37,1.68,2,1
3.65,5.16,2.23,0.13,0,1
6.1,2.8,4.7,1.2,1,0
6.4,2.9,4.3,1.3,1,0
6.6,3.0,4.4,1.4,1,0
6.8,2.8,4.8,1.4,1,0
6.7,3.0,5.0,1.7,1,0
8.8,3.88,7.5,2.82,1,1
5.39,2.7,4.16,2.32,2,1
5.5,2.4,3.8,1.1,1,0
5.5,2.4,3.7,1.0,1,0
7.48,4.77,1.29,0.23,0,1
6.0,2.7,5.1,1.6,1,0
6.91,4.97,3.9,0.87,0,1
6.0,3.4,4.5,1.6,1,0
6.7,3.1,4.7,1.5,1,0
6.3,2.3,4.4,1.3,1,0
7.03,2.83,7.24,2.67,1,1
4.9,4.59,5.46,1.31,1,1
5.5,2.6,4.4,1.2,1,0
8.38,2.06,4.66,0.38,1,1
8.72,2.66,4.36,0.9,2,1
8.63,3.79,4.05,0.93,2,1
5.6,2.7,4.2,1.3,1,0
7.77,5.28,2.4,2.07,2,1
3.84,3.41,3.63,0.81,0,1
3.69,1.58,0.92,0.61,2,1
5.1,2.5,3.0,1.1,1,0
3.66,5.49,7.09,0.99,2,1
6.3,3.3,6.0,2.5,2,0
5.8,2.7,5.1,1.9,2,0
5.29,2.71,5.23,1.27,1,1
6.3,2.9,5.6,1.8,2,0
6.5,3.0,5.8,2.2,2,0
8.62,4.62,4.1,1.32,1,1
4.9,2.5,4.5,1.7,2,0
7.3,2.9,6.3,1.8,2,0
6.7,2.5,5.8,1.8,2,0
6.82,1.99,4.91,2.4,2,1
3.64,5.5,5.49,2.28,2,1
6.4,2.7,5.3,1.9,2,0
6.8,3.0,5.5,2.1,2,0
5.7,2.5,5.0,2.0,2,0
5.8,2.8,5.1,2.4,2,0
6.4,3.2,5.3,2.3,2,0
3.57,3.96,1.78,1.98,0,1
3.53,4.13,3.64,2.71,0,1
8.83,3.5,1.58,0.05,2,1
6.6,5.0,1.97,1.09,2,1
6.9,3.2,5.7,2.3,2,0
5.6,2.8,4.9,2.0,2,0
7.7,2.8,6.7,2.0,2,0
4.21,4.28,6.96,0.46,2,1
6.8,1.92,1.55,1.47,1,1
4.97,3.64,6.86,2.28,0,1
8.35,4.49,7.18,3.13,0,1
6.03,5.0,6.88,0.15,1,1
3.74,4.82,1.65,0.63,0,1
3.97,3.5,1.64,2.44,1,1
7.4,2.8,6.1,1.9,2,0
3.57,4.49,2.47,3.28,2,1
6.4,2.8,5.6,2.2,2,0
3.14,1.86,5.92,1.62,0,1
4.69,2.67,5.46,1.95,0,1
7.7,3.0,6.1,2.3,2,0
3.57,4.4,1.13,3.28,1,1
6.4,3.1,5.5,1.8,2,0
6.0,3.0,4.8,1.8,2,0
8.14,4.53,5.9,1.51,0,1
8.92,4.37,7.63,0.41,0,1
7.29,4.46,1.48,0.43,1,1
5.8,2.7,5.1,1.9,2,0
6.8,3.2,5.9,2.3,2,0
6.7,3.3,5.7,2.5,2,0
6.7,3.0,5.2,2.3,2,0
6.3,2.5,5.0,1.9,2,0
7.71,1.57,1.32,2.9,1,1
3.25,3.48,2.97,0.51,2,1
6.55,4.22,3.45,1.11,0,1
