sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,location
5.1,3.5,2.9,0.6304717079754433,0,0
4.9,3.0,2.9,0.4960015893759505,0,1
4.7,3.2,2.8,0.6750451195806458,0,1
4.6,3.1,3.0,0.6940564716391215,0,0
5.0,3.6,2.9,0.4048964811346164,0,0
5.4,3.9,3.2,0.6697820493137683,0,1
4.6,3.4,2.9,0.7127840403167285,0,0
5.0,3.4,3.0,0.5683757407656419,0,1
4.4,2.9,2.9,0.5983198842495712,0,0
4.9,3.1,3.0,0.414695607242642,0,0
5.4,3.7,3.0,0.687939797486283,0,1
4.8,3.4,3.1,0.677779193542895,0,1
4.8,3.0,2.9,0.5066030697561216,0,1
4.3,3.0,2.6,0.6127241206968033,0,1
5.8,4.0,2.7,0.6467509342252047,0,1
5.7,4.4,3.0,0.7140707537116762,0,1
5.4,3.9,2.8,0.8368750784082499,0,1
5.1,3.5,2.9,0.6041117399171001,0,0
5.7,3.8,3.2,0.7878450301307272,0,1
5.1,3.8,3.0,0.6950074089013747,0,0
5.4,3.4,3.2,0.581513763645474,0,1
5.1,3.7,3.0,0.731907045559606,0,0
4.6,3.6,2.5,0.7222541338674031,0,0
5.1,3.3,3.2,0.8845470517931198,0,1
4.8,3.4,3.4,0.5571672177836894,0,1
5.0,3.0,3.1,0.5647866449511771,0,1
5.0,3.4,3.1,0.853230918555335,0,0
5.2,3.5,3.0,0.636544406436408,0,1
5.2,3.4,2.9,0.6412732611595989,0,1
4.7,3.2,3.1,0.6430821003007884,0,0
4.8,3.1,3.1,0.8141647600870462,0,0
5.4,3.4,3.0,0.7593584983615385,0,0
5.2,4.1,3.0,0.44877572709284624,0,0
5.5,4.2,2.9,0.5186227271752123,0,1
4.9,3.1,3.0,0.6615979422575496,0,1
5.0,3.2,2.7,0.7128972292720892,0,0
5.5,3.5,2.8,0.5886052542345126,0,1
4.9,3.6,2.9,0.4159843523037472,0,1
4.4,3.0,2.8,0.5175518784308761,0,0
5.1,3.4,3.0,0.6650592787824702,0,1
5.0,3.5,2.8,0.7743254171203442,0,0
4.5,2.3,2.8,0.7543154268305194,0,1
4.4,3.2,2.8,0.5334490292711307,0,1
5.0,3.5,3.1,1.023216132306672,0,0
5.1,3.8,3.4,0.8116685809140729,0,0
4.8,3.0,2.9,0.7218688596729013,0,1
5.1,3.8,3.1,0.6871428777948191,0,0
4.6,3.2,2.9,0.6223595548774683,0,1
5.3,3.7,3.0,0.6678913563071895,0,1
5.0,3.3,2.9,0.6067579069488892,0,1
7.0,3.2,6.2,1.8289119398689981,1,1
6.4,3.2,6.0,1.963128822583854,1,0
6.9,3.1,6.4,1.7542844180144332,1,0
5.5,2.3,5.5,1.66803287836427,1,0
6.5,2.8,6.1,1.8529627345707205,1,0
5.7,2.8,6.0,1.636112215175666,1,0
6.3,3.3,6.2,1.9724857748773317,1,1
4.9,2.4,4.8,1.5494941311234396,1,0
6.6,2.9,6.1,1.6134168884306759,1,1
5.2,2.7,5.4,1.896827835459148,1,1
5.0,2.0,5.0,1.2317130228384194,1,1
5.9,3.0,5.7,1.8665114970014225,1,1
6.0,2.2,5.5,1.4162753065105005,1,0
6.1,2.9,6.2,1.8586222331359277,1,1
5.6,2.9,5.1,1.7711226579792856,1,0
6.7,3.1,5.9,1.8793347235199924,1,0
5.6,3.0,6.0,1.8651274927751562,1,1
5.8,2.7,5.6,1.353764820733543,1,0
6.2,2.2,6.0,1.9857975881257153,1,0
5.6,2.5,5.4,1.4808695675118384,1,0
5.9,3.2,6.3,2.072431367666208,1,1
6.1,2.8,5.5,1.5866712785996522,1,0
6.3,2.5,6.4,1.8080547713998387,1,0
6.1,2.8,6.2,1.6497160744053765,1,0
6.4,2.9,5.8,1.7142425736070568,1,1
6.6,3.0,5.9,1.8690485354067767,1,0
6.8,2.8,6.3,1.7572747353663465,1,0
6.7,3.0,6.5,2.1158539691076714,1,0
6.0,2.9,6.0,1.9625590393967336,1,1
5.7,2.6,5.0,1.369065346027976,1,1
5.5,2.4,5.3,1.5456775237557412,1,1
5.5,2.4,5.2,1.3338074058933347,1,0
5.8,2.7,5.4,1.563694615343493,1,0
6.0,2.7,6.6,1.9618262106001672,1,1
5.4,3.0,6.0,1.780416035441096,1,1
6.0,3.4,6.0,2.0486972480785584,1,1
6.7,3.1,6.2,1.8530597659797274,1,0
6.3,2.3,5.9,1.701249411872769,1,0
5.6,3.0,5.6,1.748074665890591,1,1
5.5,2.5,5.5,1.7446531176029947,1,1
5.5,2.6,5.9,1.6665385108972788,1,0
6.1,3.0,6.1,1.7901514515490575,1,1
5.8,2.6,5.5,1.5576701687955847,1,1
5.0,2.3,4.8,1.39202817890936,1,0
5.6,2.7,5.7,1.5312665566041972,1,1
5.7,3.0,5.7,1.4552887527576914,1,0
5.7,2.9,5.7,1.5677300387645599,1,0
6.2,2.9,5.8,1.600275317239852,1,1
5.1,2.5,4.5,1.5399774226723437,1,1
5.7,2.8,5.6,1.609452094463994,1,0
6.3,3.3,7.5,2.8621837445960607,2,1
5.8,2.7,6.6,2.429922829778606,2,0
7.1,3.0,7.4,2.464373602893857,2,1
6.3,2.9,7.1,2.273751556846709,2,0
6.5,3.0,7.3,2.5066382319990126,2,1
7.6,3.0,8.1,2.479456244213237,2,1
4.9,2.5,6.0,2.004997794508942,2,1
7.3,2.9,7.8,2.166096692409944,2,1
6.7,2.5,7.3,2.2840308137457397,2,0
7.2,3.6,7.6,2.7272679576807652,2,1
6.5,3.2,6.6,2.4434423643545857,2,0
6.4,2.7,6.8,2.3237735602332275,2,1
6.8,3.0,7.0,2.4405850044303206,2,1
5.7,2.5,6.5,2.2553942145611545,2,0
5.8,2.8,6.6,2.8072129507713868,2,1
6.4,3.2,6.8,2.6470507290936194,2,1
6.5,3.0,7.0,2.2232676211354705,2,0
7.7,3.8,8.2,2.6021852145523443,2,0
7.7,2.6,8.4,2.8601778891320913,2,0
6.0,2.2,6.5,1.8760644372526976,2,0
6.9,3.2,7.2,2.5976502507378134,2,0
5.6,2.8,6.4,2.4179275634956316,2,1
7.7,2.8,8.2,2.4219996683971763,2,1
6.3,2.7,6.4,2.335918757524044,2,0
6.7,3.3,7.2,2.5835111245914577,2,1
7.2,3.2,7.5,2.235687105914951,2,1
6.2,2.8,6.3,2.346330289121956,2,0
6.1,3.0,6.4,2.081123694567715,2,1
6.4,2.8,7.1,2.4360248467250254,2,1
7.2,3.0,7.3,1.9073424058594475,2,1
7.4,2.8,7.6,2.261019019684423,2,1
7.9,3.8,7.9,2.262331385244369,2,1
6.4,2.8,7.1,2.6635150946814403,2,0
6.3,2.8,6.6,1.8777777302901226,2,1
6.1,2.6,7.1,1.652919370549734,2,1
7.7,3.0,7.6,2.5984420918792455,2,0
6.3,3.4,7.1,2.8313513847450196,2,1
6.4,3.1,7.0,2.283812656789438,2,0
6.0,3.0,6.3,2.3996730891691787,2,0
6.9,3.1,6.9,2.791386246600733,2,0
6.7,3.1,7.1,2.8414409433275996,2,1
6.9,3.1,6.6,2.6010461879968134,2,0
5.8,2.7,6.6,2.086795371926869,2,0
6.8,3.2,7.4,2.726771146234383,2,0
6.7,3.3,7.2,2.8187058904689675,2,1
6.7,3.0,6.7,2.6584642739820312,2,1
6.3,2.5,6.5,2.238790320094019,2,0
6.5,3.0,6.7,2.3859209113583613,2,0
6.2,3.4,6.9,2.806598023078764,2,1
5.9,3.0,6.6,2.2157048567445345,2,0
