event_timestamp,iris_id,sepal_length,sepal_width,petal_length,petal_width,species,created_timestamp
2025-09-17 10:40:17.102131,1001,5.52,2.53,3.86,1.13,versicolor,2025-10-02 10:40:17.172178
2025-09-18 10:40:17.102131,1001,5.5,2.24,3.6,1.08,versicolor,2025-10-02 10:40:17.172178
2025-09-19 10:40:17.102131,1001,5.55,2.47,3.75,1.08,versicolor,2025-10-02 10:40:17.172178
2025-09-20 10:40:17.102131,1001,5.45,2.37,3.92,1.2,versicolor,2025-10-02 10:40:17.172178
2025-09-21 10:40:17.102131,1001,5.65,2.52,3.95,1.17,versicolor,2025-10-02 10:40:17.172178
2025-09-22 10:40:17.102131,1001,5.59,2.19,3.78,1.09,versicolor,2025-10-02 10:40:17.172178
2025-09-23 10:40:17.102131,1001,5.38,2.35,3.87,0.95,versicolor,2025-10-02 10:40:17.172178
2025-09-24 10:40:17.102131,1001,5.62,2.34,3.85,1.06,versicolor,2025-10-02 10:40:17.172178
2025-09-25 10:40:17.102131,1001,5.58,2.54,3.85,0.98,versicolor,2025-10-02 10:40:17.172178
2025-09-26 10:40:17.102131,1001,5.52,2.41,3.76,1.11,versicolor,2025-10-02 10:40:17.172178
2025-09-27 10:40:17.102131,1001,5.5,2.48,3.8,1.27,versicolor,2025-10-02 10:40:17.172178
2025-09-28 10:40:17.102131,1001,5.45,2.41,3.87,1.0,versicolor,2025-10-02 10:40:17.172178
2025-09-29 10:40:17.102131,1001,5.46,2.36,3.95,1.14,versicolor,2025-10-02 10:40:17.172178
2025-09-30 10:40:17.102131,1001,5.5,2.36,3.77,1.31,versicolor,2025-10-02 10:40:17.172178
2025-10-01 10:40:17.102131,1001,5.45,2.36,3.84,1.09,versicolor,2025-10-02 10:40:17.172178
2025-09-17 10:40:17.102131,1002,4.92,3.05,1.43,0.29,setosa,2025-10-02 10:40:17.172178
2025-09-18 10:40:17.102131,1002,5.05,2.94,1.53,0.31,setosa,2025-10-02 10:40:17.172178
2025-09-19 10:40:17.102131,1002,4.9,3.02,1.44,0.09,setosa,2025-10-02 10:40:17.172178
2025-09-20 10:40:17.102131,1002,4.88,2.95,1.34,0.15,setosa,2025-10-02 10:40:17.172178
2025-09-21 10:40:17.102131,1002,4.81,3.18,1.38,0.2,setosa,2025-10-02 10:40:17.172178
2025-09-22 10:40:17.102131,1002,4.83,2.95,1.38,0.23,setosa,2025-10-02 10:40:17.172178
2025-09-23 10:40:17.102131,1002,4.91,3.01,1.41,0.3,setosa,2025-10-02 10:40:17.172178
2025-09-24 10:40:17.102131,1002,4.69,3.03,1.19,0.24,setosa,2025-10-02 10:40:17.172178
2025-09-25 10:40:17.102131,1002,4.79,2.92,1.4,-0.13,setosa,2025-10-02 10:40:17.172178
2025-09-26 10:40:17.102131,1002,4.84,3.01,1.45,0.12,setosa,2025-10-02 10:40:17.172178
2025-09-27 10:40:17.102131,1002,4.86,2.92,1.43,0.11,setosa,2025-10-02 10:40:17.172178
2025-09-28 10:40:17.102131,1002,4.9,3.15,1.39,0.06,setosa,2025-10-02 10:40:17.172178
2025-09-29 10:40:17.102131,1002,4.85,3.01,1.36,0.13,setosa,2025-10-02 10:40:17.172178
2025-09-30 10:40:17.102131,1002,4.85,2.94,1.51,0.32,setosa,2025-10-02 10:40:17.172178
2025-10-01 10:40:17.102131,1002,4.84,2.9,1.29,0.2,setosa,2025-10-02 10:40:17.172178
2025-09-17 10:40:17.102131,1003,5.09,3.42,1.34,0.22,setosa,2025-10-02 10:40:17.172178
2025-09-18 10:40:17.102131,1003,5.24,3.44,1.56,0.05,setosa,2025-10-02 10:40:17.172178
2025-09-19 10:40:17.102131,1003,4.97,3.41,1.52,0.23,setosa,2025-10-02 10:40:17.172178
2025-09-20 10:40:17.102131,1003,5.1,3.67,1.28,0.37,setosa,2025-10-02 10:40:17.172178
2025-09-21 10:40:17.102131,1003,5.04,3.48,1.48,0.32,setosa,2025-10-02 10:40:17.172178
2025-09-22 10:40:17.102131,1003,5.16,3.58,1.39,0.4,setosa,2025-10-02 10:40:17.172178
2025-09-23 10:40:17.102131,1003,5.06,3.59,1.53,0.33,setosa,2025-10-02 10:40:17.172178
2025-09-24 10:40:17.102131,1003,5.1,3.48,1.47,0.34,setosa,2025-10-02 10:40:17.172178
2025-09-25 10:40:17.102131,1003,5.18,3.5,1.28,0.29,setosa,2025-10-02 10:40:17.172178
2025-09-26 10:40:17.102131,1003,5.07,3.29,1.53,0.2,setosa,2025-10-02 10:40:17.172178
2025-09-27 10:40:17.102131,1003,5.06,3.46,1.47,0.3,setosa,2025-10-02 10:40:17.172178
2025-09-28 10:40:17.102131,1003,5.11,3.45,1.54,0.18,setosa,2025-10-02 10:40:17.172178
2025-09-29 10:40:17.102131,1003,5.12,3.55,1.3,0.16,setosa,2025-10-02 10:40:17.172178
2025-09-30 10:40:17.102131,1003,5.21,3.43,1.58,0.36,setosa,2025-10-02 10:40:17.172178
2025-10-01 10:40:17.102131,1003,4.85,3.4,1.19,0.29,setosa,2025-10-02 10:40:17.172178
